,UID,UIN,Name,HW,Quiz,E1,E2,E3,E4
82,ndyxjvinz@school.edu,2350427247,Qayzr Umjkvobt,77.25,65.6,97.0,96.0,90.0,59.0
83,aolhzzzyej@school.edu,3999091309,Fzlpgtwnae Iuyiztn,85.0,71.2,52.0,99.0,54.0,54.0
84,qtnnxzhb@school.edu,4447959340,Vlgxfzhw Azdacqwy,75.375,73.8,89.0,58.0,66.0,86.0
85,ugtynssr@school.edu,3533404338,Unkvd Wklhreycvv,87.375,73.0,82.0,73.0,53.0,87.0
86,syxcxxnqzpc@school.edu,5071169070,Egcos Oqitbxm,74.5,84.0,55.0,91.0,62.0,51.0
87,dvtsknvkw@school.edu,7721483740,Nhbsp Dgszg,78.375,84.8,86.0,89.0,50.0,66.0
88,lmflptbpeyx@school.edu,9917919599,Xkmqrmajco Aekrltlrwi,88.25,73.0,90.0,68.0,90.0,72.0
89,aqedjqzbmfbxr@school.edu,5620980513,Vtofduhwe Mozyh,81.0,75.6,95.0,77.0,77.0,83.0
90,fjhggllieo@school.edu,8707937116,Qnwnx Vsxbxwy,83.75,74.6,51.0,75.0,99.0,97.0
91,tdyxnkfctsm@school.edu,3011308176,Trotd Uozmlilwe,88.0,73.6,97.0,68.0,100.0,59.0
92,ojepdegnadc@school.edu,8724969887,Nlvkc Vrxebowh,77.75,67.6,61.0,61.0,50.0,50.0
93,ozkgnthagifd@school.edu,6882890198,Mgupxee Xutmz,77.25,69.8,73.0,68.0,99.0,77.0
94,ntkovbik@school.edu,5363421992,Mepkhiabh Bycsa,80.75,90.4,100.0,87.0,79.0,78.0
95,lefopep@school.edu,6041877725,Abyijegnjm Bnhogaxby,92.0,77.2,51.0,96.0,51.0,64.0
96,zjevufsyv@school.edu,5320792423,Lqsvqkae Aagonsqj,80.75,75.0,63.0,71.0,95.0,98.0
97,rmzvfdqc@school.edu,2367577876,Zytzzz Bzaxqw,74.875,83.2,89.0,84.0,86.0,99.0
98,glmawo@school.edu,5176254810,Faypt Utcewdmv,81.875,82.8,92.0,88.0,68.0,93.0
99,mfwuaorshy@school.edu,8776893713,Zjsfy Bgkurczuqj,82.25,80.4,71.0,94.0,92.0,59.0
100,qdhepepcaayi@school.edu,4547295787,Nfjgqfqsfz Mwajkkotma,80.75,67.8,93.0,59.0,94.0,68.0
101,gylrht@school.edu,4805654887,Nzrmlmydal Djegnkxgmd,75.0,74.0,74.0,79.0,67.0,75.0
102,eqiezserhuflk@school.edu,1280581755,Astdguuur Smpnvl,80.125,80.0,71.0,52.0,51.0,77.0
103,vktowtqjrejyy@school.edu,1300481497,Numwacupfa Fiwxjz,72.75,78.2,77.0,66.0,61.0,92.0
104,qockdaepya@school.edu,8084929465,Lzhetcv Ucoqthmfa,73.25,74.4,96.0,90.0,92.0,69.0
105,gqaelhoneev@school.edu,4898102293,Zoxpaxjbde Dlhqub,82.625,78.2,56.0,61.0,70.0,91.0
106,eyyir@school.edu,3019320878,Kvhonqn Knrff,78.0,77.4,80.0,55.0,59.0,85.0
107,cssebvsvdzmxs@school.edu,2770891948,Ogqbyvdrds Uwotru,79.75,81.6,95.0,71.0,57.0,91.0
108,boplid@school.edu,1760148616,Yforasux Klfvza,81.125,80.8,77.0,94.0,97.0,82.0
109,luecdjeomw@school.edu,6658688894,Ezqduegtw Mkkuas,74.25,86.8,66.0,96.0,87.0,66.0
110,qynfryihrutdg@school.edu,4615152775,Jhcso Yckrwc,79.875,74.4,86.0,94.0,53.0,76.0
111,ncbfl@school.edu,3180913237,Syrlf Yytuqgf,71.625,79.6,94.0,69.0,93.0,65.0
112,qvcopqk@school.edu,7633106416,Ftuujny Fsudfpggjk,85.625,66.2,59.0,72.0,99.0,52.0
113,dtkuetvs@school.edu,2218728864,Fbxfix Txjut,78.375,86.2,81.0,90.0,75.0,60.0
114,xcffbrqnu@school.edu,9908325406,Uufdotqlyz Efohbrtxh,83.75,85.4,80.0,76.0,77.0,70.0
115,ierurjczyulg@school.edu,4784887422,Druxmwdamc Xjlmjnvb,81.625,73.8,56.0,70.0,51.0,93.0
116,qkkrvoyzbui@school.edu,6947336674,Yvorivep Yffua,75.875,76.4,75.0,67.0,72.0,89.0
117,lgolbsc@school.edu,1429661870,Roxzehgydv Asaqsa,85.5,85.0,62.0,93.0,79.0,89.0
118,zzughrqn@school.edu,3211305037,Skbxe Gpulvmyrz,76.75,88.2,90.0,90.0,100.0,79.0
119,gomxj@school.edu,3723076187,Zepohxz Uypotde,85.125,70.6,62.0,63.0,97.0,62.0
120,mdsslmvaihx@school.edu,3795993460,Joxivvft Fvdfurmc,83.25,86.8,70.0,94.0,72.0,86.0
121,evexcxvsh@school.edu,6669633220,Vinfua Yqzvo,69.25,76.8,95.0,92.0,62.0,70.0
122,zlkykdjmwzzx@school.edu,9536648218,Kgkodeova Kykngto,86.125,75.8,56.0,89.0,84.0,91.0
123,sgiqbxhm@school.edu,3800600807,Feeiq Dkyzty,86.125,80.8,85.0,82.0,80.0,90.0
124,jokngypargc@school.edu,1507825370,Icqihh Jeljhgzhr,72.0,75.8,100.0,61.0,79.0,91.0
125,rvhwjxc@school.edu,3635443040,Hbaji Qasdanbq,81.875,62.0,87.0,54.0,57.0,99.0
126,nvucfxp@school.edu,4494386748,Yoogkynl Simafe,64.125,72.4,87.0,63.0,81.0,66.0
127,ynettaz@school.edu,7463088092,Bevpottfzv Ejplmapki,79.0,79.8,81.0,60.0,100.0,80.0
128,zdxpx@school.edu,6723888551,Gslhmsu Pobrikdr,85.875,66.0,59.0,56.0,79.0,64.0
129,dqzlx@school.edu,5188341778,Xvbjawrxla Ufjbxxc,74.625,69.8,68.0,88.0,55.0,91.0
130,mbdyptlhksfq@school.edu,5909608393,Clnldfd Wzsxpvgzv,78.625,78.8,98.0,81.0,98.0,57.0
131,tpsria@school.edu,1451931248,Fjhquze Lnabjefjp,78.25,65.4,53.0,70.0,98.0,80.0
132,arcyr@school.edu,8325245100,Lssfeqpqqf Hsizxtl,77.125,85.0,88.0,81.0,82.0,82.0
133,aiibbndaowg@school.edu,1771079312,Wtcggehf Qxvclz,88.125,67.0,51.0,79.0,84.0,67.0
134,bhbokaxibpo@school.edu,9474729374,Vzfrtzx Crcxus,89.375,78.2,60.0,73.0,62.0,67.0
135,ldyiv@school.edu,6358441354,Sjrzgxtycz Ybazuhwnmt,84.375,72.4,100.0,97.0,67.0,55.0
136,olerlh@school.edu,8509651030,Sntfiz Tadqxtns,68.125,71.0,97.0,55.0,85.0,57.0
137,jevoruyz@school.edu,1201926398,Kgtbkc Wrgivpd,87.625,78.8,65.0,71.0,55.0,61.0
138,zceorhxu@school.edu,8042890882,Kbeljfehr Etnphjwp,78.125,79.4,64.0,60.0,100.0,81.0
139,jrfdrctpxetr@school.edu,5377163199,Kurjqdh Snwxbd,77.375,67.6,58.0,94.0,93.0,78.0
140,auagoiszoj@school.edu,3026974696,Zxzjpanbm Ozdpdfzvf,82.875,78.8,69.0,67.0,93.0,54.0
141,qkmsgil@school.edu,3101634737,Zqeovpmtg Ujsdsmsl,79.625,82.0,93.0,69.0,90.0,87.0
142,ehngvcg@school.edu,1489983878,Xoydu Lccprmji,72.25,87.2,55.0,66.0,78.0,71.0
143,bqbrbhgbwkrne@school.edu,3436714215,Xunrcftam Kuiaywpegm,72.75,77.0,92.0,77.0,77.0,61.0
144,gyxvm@school.edu,7111529440,Whgefhu Ozbkwy,85.375,69.6,63.0,59.0,91.0,75.0
145,ezmvgbmz@school.edu,3325011498,Eisatjk Uqfqxnfti,71.375,87.2,83.0,61.0,90.0,72.0
146,wifibiaakwyty@school.edu,3514267308,Wzszksdml Znzckqodvn,70.125,78.4,91.0,53.0,85.0,85.0
147,aicarkbbw@school.edu,3963537127,Jqirhfn Rxnxh,80.875,72.8,60.0,64.0,59.0,68.0
148,lhseucnsk@school.edu,1955632338,Jzepgvbji Otazzgew,78.875,76.2,94.0,69.0,55.0,59.0
149,dnmbaooal@school.edu,5028812355,Zafzbynay Tlmmsd,75.375,93.4,69.0,96.0,88.0,74.0
150,lnkkoyxilu@school.edu,3752044558,Pzsmvyxlg Jtyvqllu,82.25,75.0,58.0,89.0,90.0,88.0
151,ujsfdlbvkv@school.edu,8111513143,Gfyyjdo Fcsedwndcn,88.5,78.0,93.0,84.0,85.0,69.0
152,dkdpp@school.edu,7175443711,Wvltun Uwqlr,79.125,77.0,95.0,70.0,93.0,81.0
153,udpvpwflbf@school.edu,3485281165,Dfnnlse Fxjfa,87.375,90.4,51.0,59.0,98.0,84.0
154,ytmagfvsgrdoi@school.edu,1081596471,Fwkcl Meytw,81.625,86.6,75.0,97.0,93.0,97.0
155,sukgl@school.edu,1245444037,Rrplolmd Czsape,80.0,70.4,97.0,58.0,85.0,56.0
156,wvcbtvats@school.edu,6084097961,Vccfdgww Hojznxx,77.875,70.4,67.0,84.0,78.0,66.0
157,kuonnwa@school.edu,3113536912,Mihykix Nmgimuolgj,80.375,79.4,55.0,61.0,100.0,55.0
158,gqkdecq@school.edu,1875895732,Koqaewu Dwodohmw,69.625,84.4,72.0,71.0,100.0,87.0
159,wyjyjblvlngdg@school.edu,5994000187,Qtsozfml Dbgkpjox,84.125,87.6,68.0,97.0,61.0,52.0
160,gyjchxywijyah@school.edu,9151370651,Qjpyk Btvojqoyl,82.5,75.0,69.0,69.0,70.0,88.0
161,tismk@school.edu,6856512468,Semjqw Kigex,76.5,89.8,61.0,54.0,72.0,96.0
162,rnvlgcky@school.edu,3092419504,Upmublgvp Rvnrfov,77.125,81.0,98.0,59.0,67.0,66.0
163,csxrgxvnjrabw@school.edu,8701318347,Rdivhji Lpykwvjuju,86.0,76.6,57.0,100.0,86.0,79.0
164,bjkykpnuunw@school.edu,5106227812,Djdubtesq Inbhftyddt,78.75,84.0,94.0,98.0,100.0,73.0
165,upqvmwgezsicv@school.edu,2888463812,Gscrvkoc Wreltkstu,77.125,87.2,52.0,70.0,63.0,100.0
166,mwasuuvyrt@school.edu,3260339241,Huahruk Zelqs,87.5,77.6,67.0,50.0,99.0,86.0
167,qxrug@school.edu,4626402864,Tvsvmkkjwv Mxibd,70.25,61.2,67.0,78.0,82.0,71.0
168,sxprtva@school.edu,5011571412,Qkgfxhhnkw Ablnnkpuy,72.25,76.2,56.0,97.0,70.0,56.0
169,pvrzelrki@school.edu,6930936089,Krqdg Wwsaqal,78.375,83.2,62.0,95.0,77.0,79.0
170,fukxyuyxshyk@school.edu,8532114058,Vdnuhmamxy Boqmhbcejy,75.75,78.6,89.0,52.0,59.0,82.0
171,vqnrrm@school.edu,5561803009,Pkwxrodisr Prfkywk,73.875,84.4,61.0,50.0,64.0,62.0
172,pvybbz@school.edu,4722133718,Zstap Pryfhykkp,75.75,81.8,100.0,92.0,99.0,100.0
173,kbckjow@school.edu,3474102158,Lgleweoyu Xpyir,75.5,80.8,63.0,78.0,95.0,72.0
174,wwsghkatcsw@school.edu,4867280283,Lvllzyew Urbmcry,80.625,80.6,74.0,64.0,63.0,92.0
175,abrxqmm@school.edu,5326966183,Extcro Fxvhwk,84.5,69.8,95.0,84.0,87.0,67.0
176,ziocfjqx@school.edu,6945976599,Lqqccm Cmsppx,78.625,82.0,61.0,79.0,66.0,78.0
177,edvnesgv@school.edu,7855205258,Mrjdx Mraioubb,78.25,80.0,58.0,64.0,94.0,74.0
178,wudxxvypbqxx@school.edu,9003867840,Cabmpjgo Ksqtakbx,78.5,81.4,92.0,78.0,64.0,71.0
179,ptvnbx@school.edu,4497866582,Slytffoed Ounxadiyub,76.375,91.2,82.0,93.0,91.0,74.0
180,osgde@school.edu,7748248844,Bcnvdjphyl Ptsqkjt,84.875,68.6,100.0,83.0,85.0,85.0
181,nehowtxtgug@school.edu,9698728975,Jbxphi Xwyapt,78.125,66.6,90.0,62.0,56.0,79.0
182,woijfnok@school.edu,9671113753,Dzcptnnles Nrckjq,84.125,60.4,85.0,97.0,80.0,67.0
183,evqfq@school.edu,4003480575,Xvmcj Bqaugn,84.75,82.2,76.0,84.0,98.0,89.0
184,edevibsyhfvcf@school.edu,9003167708,Niccp Qvcxojlrc,67.25,80.8,84.0,51.0,61.0,91.0
185,bbamiwhqdfgy@school.edu,1938487310,Tomvulpqew Vrzocqeloy,75.125,72.2,59.0,98.0,87.0,75.0
186,yssox@school.edu,5338658206,Zsnfgbcxhe Ahxmkngaqf,79.125,91.4,59.0,55.0,65.0,74.0
187,wecimc@school.edu,5666678255,Fjmsofcbh Xkfsy,67.875,73.0,52.0,71.0,57.0,82.0
188,aassosvjyjnnz@school.edu,7739527497,Sonaaib Supbhm,81.25,77.8,83.0,89.0,79.0,93.0
189,ruuqztm@school.edu,5514415222,Awnvmjgzwd Mpinhyjhfa,85.75,85.4,57.0,57.0,73.0,81.0
190,hjqymvxk@school.edu,2514090629,Nrhfkg Svchqsyyj,83.375,78.6,96.0,85.0,73.0,94.0
191,ggmrvuqwijy@school.edu,2645806958,Ruuizcqb Xbwpsf,82.75,86.6,55.0,75.0,62.0,94.0
192,jxufnn@school.edu,1039539394,Ahpxni Jrhlrbpcqg,78.375,86.8,63.0,51.0,89.0,66.0
193,bzwhvwvg@school.edu,4208940015,Edxzvnrgra Ljoulpoou,78.125,77.4,93.0,67.0,59.0,88.0
194,ephab@school.edu,3993421577,Qjyea Wsxwskho,77.875,81.4,81.0,62.0,83.0,51.0
195,axtobabnbs@school.edu,9925165176,Iqnww Pskipwmhwm,72.375,87.6,51.0,81.0,87.0,92.0
196,kirqmiedvqqwg@school.edu,3376678703,Objbflexm Ozctparqim,73.875,74.6,73.0,64.0,95.0,86.0
197,hizbppzvcmpb@school.edu,9072935042,Rkfdzpxxx Ryvfck,79.25,86.2,72.0,89.0,73.0,50.0
198,eflrlxcmsq@school.edu,5116044855,Lomqmr Kwkkrgowpd,85.125,87.2,56.0,84.0,67.0,73.0
199,dlnxljqdymrzp@school.edu,1570615496,Zvoyrdsssq Xieieqow,85.625,79.2,61.0,97.0,59.0,61.0
200,zqrbpk@school.edu,3973566964,Uxugqomexr Snnrnwpg,87.5,69.6,94.0,76.0,63.0,76.0
201,osutq@school.edu,1847988281,Jzjszgwaj Nepkrdl,75.0,90.8,58.0,90.0,68.0,88.0
202,mcjiuytcd@school.edu,2407726067,Fyxueqvjqt Cygzlcalzz,84.625,74.6,74.0,80.0,92.0,66.0
203,pauavk@school.edu,1478695622,Mesjr Hsvdabtyz,81.25,74.0,53.0,67.0,58.0,98.0
204,dtconpef@school.edu,3755603229,Yzqka Pxdzc,65.375,80.2,52.0,95.0,65.0,51.0
205,rmerohy@school.edu,8822231334,Fbxncvnv Olpabyhqt,71.375,85.4,57.0,87.0,86.0,87.0
206,rbwllntyw@school.edu,6899091323,Pznloganj Rzovcxyp,80.125,79.2,58.0,56.0,89.0,56.0
207,dqtefbabyzqur@school.edu,1816784024,Iyxmjdzw Vprctavvbo,79.75,74.6,86.0,66.0,70.0,77.0
208,uvtxkdpgila@school.edu,3068193650,Xnoswvtww Gxfuwbrq,71.75,85.4,51.0,98.0,99.0,81.0
209,wswgonik@school.edu,3673408512,Luprd Siijxfxm,76.5,76.0,61.0,96.0,91.0,77.0
210,fyqimnc@school.edu,9957436379,Modesgeikw Ehslsxbrm,78.625,83.0,85.0,64.0,55.0,67.0
211,drjti@school.edu,4669779826,Gdqfapenvb Zopioceopv,69.875,83.0,71.0,94.0,90.0,59.0
212,upzmngzwfrbye@school.edu,4057215078,Zbinapjbxb Rsoblqmea,82.375,67.4,57.0,87.0,81.0,63.0
213,shlxadovna@school.edu,7956316688,Fzuvisg Pjimnd,70.5,79.8,75.0,67.0,65.0,65.0
214,afebvht@school.edu,8270763829,Oznuv Shamzbzdz,75.0,70.2,52.0,91.0,80.0,50.0
215,gkzzouoaikerf@school.edu,4758475498,Owxmpsb Nwqtc,81.5,79.8,83.0,95.0,58.0,52.0
216,gxybkahjo@school.edu,6414639555,Gpyyraovu Zjoqhrig,78.125,78.8,57.0,80.0,51.0,85.0
217,ockemvduzsgjy@school.edu,5946036154,Yxmupuq Zyyns,90.75,82.4,50.0,56.0,61.0,51.0
218,mcgotkovjosmh@school.edu,1274030699,Enjnf Axbnpufjzm,81.875,85.4,60.0,57.0,90.0,100.0
219,uizgcvcbgnjw@school.edu,8975553717,Rscstwidu Kmyevuqlw,85.0,71.6,62.0,94.0,71.0,89.0
220,qxrpgepgyvdr@school.edu,7081799272,Xhoooish Hmdvjm,72.0,85.6,50.0,91.0,70.0,65.0
221,sbjbdyzjlhfy@school.edu,3460263208,Zaqeykes Redaffyj,74.75,80.8,54.0,65.0,62.0,53.0
222,jegarpemvkq@school.edu,2086302729,Cbsfcvjmca Zditg,77.125,81.0,97.0,65.0,86.0,61.0
223,gsimcitwsdikv@school.edu,9785629593,Czkohjxsd Yryhccdgme,82.5,89.2,92.0,86.0,79.0,62.0
224,pmtyixgpommw@school.edu,3337423813,Blbmdmyrt Ueuuekr,78.125,73.4,82.0,61.0,76.0,82.0
225,fnsqqpq@school.edu,2776007265,Qgxbttm Qwaqq,82.875,83.4,59.0,86.0,89.0,86.0
226,kywktuoit@school.edu,1140109722,Wpxrumnb Jlroljsnm,88.25,87.8,71.0,71.0,73.0,97.0
227,cfpxszghu@school.edu,9605847435,Jmsifwzqnj Toizmi,75.25,85.2,57.0,97.0,53.0,52.0
228,cxjtvzvpvhn@school.edu,7517200061,Yuerfnqtm Acipqlunm,88.625,85.0,87.0,61.0,82.0,83.0
229,grkdhvapexgs@school.edu,8692708171,Kjvdxj Wrgmfpbs,78.0,74.2,51.0,73.0,73.0,89.0
230,kbzpmogymhoq@school.edu,3932308099,Dmyejl Hxsdfhkrhb,86.375,73.2,55.0,78.0,65.0,55.0
231,ccatbijfmy@school.edu,4705653589,Mduzs Rhcayoyugb,75.5,71.0,69.0,74.0,83.0,95.0
232,aiphkijc@school.edu,3105160513,Rxtvins Dtesm,84.25,76.2,80.0,70.0,57.0,89.0
