,Unnamed: 0,UID,UIN,Name,HW,Quiz,E1,E2,E3,E4,Total,Letter grade
34,34,gbnzzk@school.edu,8856270558,Pmezgtpj Sfnwx,90.125,84.8,73.0,68.0,52.0,51.0,70.16125,C
35,35,zudiojo@school.edu,8700477732,Rpbrxitpd Venvaq,82.75,79.2,90.0,94.0,90.0,85.0,86.7075,A+
36,36,ueggwbgqvonda@school.edu,6706186426,Hypwdysx Nrudccq,81.75,73.4,55.0,72.0,61.0,100.0,75.9775,B
37,37,xvxlpsvlvmz@school.edu,3680656535,Lybytujoae Zkkjbllwgg,74.25,71.4,82.0,81.0,59.0,88.0,76.6025,B+
38,38,ebqnzki@school.edu,6999480977,Ahpej Yfrtd,83.125,78.8,75.0,78.0,51.0,71.0,73.46125,B-
39,39,kvolwqgseujye@school.edu,9761210244,Qktliuqa Kzmwc,77.75,78.4,84.0,52.0,75.0,59.0,70.7275,C
40,40,qtjeup@school.edu,5504430136,Nqhgrtp Yifvai,84.375,80.8,99.0,70.0,94.0,50.0,78.62375,A
41,41,mcfyytknvk@school.edu,1416823257,Ocflti Bzczostydl,84.375,83.4,68.0,78.0,65.0,92.0,79.48375,A
42,42,qsckorjtim@school.edu,6718505439,Mtcuecisej Hekyvrj,88.375,78.6,88.0,55.0,53.0,74.0,74.15375,B
43,43,ltlshqhmflwev@school.edu,5457310491,Sgnrpgagt Tnftopa,85.625,77.6,78.0,79.0,52.0,96.0,79.71625,A
44,44,xaguikvtwyak@school.edu,6173439713,Urimqprkr Djuisyvbo,85.25,86.6,81.0,84.0,73.0,55.0,76.6725,B+
45,45,oymxemtg@school.edu,6542452645,Cqbxshpx Wlxlih,77.875,76.8,79.0,88.0,98.0,68.0,80.49875,A
46,46,anbtbzxnkxkc@school.edu,4753118606,Xtrtpmqyl Amcijkc,81.75,71.4,64.0,91.0,85.0,75.0,78.5775,A
47,47,nhpedeicrhmcs@school.edu,5718190057,Hdagki Dbdkknvo,83.5,74.6,100.0,54.0,95.0,66.0,78.885,A
48,48,kcwnqrhaksq@school.edu,8286449202,Apizdhdgdn Dlwphfhb,76.75,84.6,50.0,94.0,52.0,90.0,75.0475,B
49,49,xefaqejymj@school.edu,8851148135,Iwidywmkeq Qxrgvk,76.125,83.2,100.0,98.0,99.0,69.0,85.70125,A+
50,50,fiqyykdl@school.edu,3146496241,Zspwja Qjdlg,83.875,86.2,67.0,71.0,54.0,51.0,68.58875,D+
51,51,sybewxdxry@school.edu,4588981273,Teekn Wpqujx,84.5,76.6,91.0,77.0,87.0,87.0,84.435,A
52,52,pkzcxzu@school.edu,1809811114,Juapxgpn Rgrptvfniu,79.25,78.2,59.0,67.0,53.0,95.0,73.4825,B-
53,53,kushtsddt@school.edu,3513487464,Jdikjlzu Gijfgmwh,67.625,75.8,71.0,97.0,73.0,99.0,80.43625,A
54,54,uuanzokad@school.edu,9312370931,Iuwoal Zqeem,83.75,72.4,66.0,77.0,59.0,89.0,76.2775,B+
55,55,rbnvatnnjz@school.edu,1975917381,Geqltuu Vcyykf,85.5,80.2,58.0,86.0,69.0,78.0,76.945,B+
56,56,esgbam@school.edu,4806493450,Gwnrr Jvvnpd,90.375,80.4,50.0,67.0,58.0,82.0,73.28375,B-
57,57,hengfyk@school.edu,3495072998,Uipokxndi Ehkifn,74.375,83.6,54.0,90.0,73.0,97.0,78.90375,A
58,58,rlntqyxkcub@school.edu,7613103589,Detrxu Vcemasvq,83.625,84.0,88.0,88.0,55.0,71.0,78.15625,A
59,59,jewcgxxlds@school.edu,1923646604,Azghbjb Butnimrzc,88.5,79.0,88.0,82.0,61.0,75.0,79.675,A
60,60,txfaxebqvdgd@school.edu,2331749283,Dyzwdluh Ogsehqzvs,83.375,77.4,98.0,89.0,95.0,76.0,86.08375,A+
61,61,fivmbsamzcrw@school.edu,8526973014,Atrxi Mptwwxds,71.75,93.4,80.0,57.0,100.0,91.0,81.0275,A
62,62,ncztib@school.edu,2155157340,Drpjedooc Vpcjeumd,85.125,74.6,99.0,65.0,91.0,97.0,86.39125,A+
63,63,eeneeauidgeue@school.edu,6887372093,Zlobblc Fcdcdx,79.125,76.4,65.0,98.0,82.0,83.0,80.77125,A
64,64,ddvktv@school.edu,6879789863,Hrybomrb Fwoqvn,82.5,79.0,63.0,86.0,55.0,74.0,73.925,B-
65,65,yehkp@school.edu,1733822522,Mejrepdgp Tocmcybqsn,75.375,82.2,74.0,93.0,100.0,77.0,82.51375,A
66,66,zsvjfe@school.edu,4089577474,Blyexturg Gkwkmqub,79.375,81.6,93.0,78.0,90.0,74.0,81.95375,A
67,67,bucmxbkuo@school.edu,8730534982,Jajyjkp Fybuzhhm,74.25,87.0,60.0,68.0,90.0,64.0,72.7625,C+
68,68,rsbakmwxaygjj@school.edu,1925504699,Eyrkaqj Phaswdps,80.5,69.2,73.0,60.0,57.0,91.0,73.745,B-
69,69,cuyjkpgjlagzy@school.edu,1357993845,Ainperig Odwndmxyk,73.5,75.8,52.0,78.0,66.0,58.0,66.955,D+
70,70,mvsfmgbzq@school.edu,5305859272,Miaex Tnzht,84.875,74.4,81.0,68.0,80.0,78.0,78.60875,A
71,71,vxhevel@school.edu,5713992406,Kpkarm Gdadnrwl,88.125,81.4,78.0,75.0,99.0,91.0,86.17125,A+
72,72,iecisqcfv@school.edu,1654605015,Luteg Byakgihpsu,84.875,86.2,100.0,66.0,91.0,79.0,84.18875,A
73,73,ycmrqu@school.edu,5383868385,Trepufru Znmwmjcqu,81.0,74.8,54.0,95.0,88.0,74.0,78.08,A
74,74,qdlgghonnywfb@school.edu,9359602634,Acsbmxs Nmmio,72.375,83.8,60.0,64.0,79.0,95.0,75.92375,B
75,75,filtilt@school.edu,7111164818,Aqpwbxj Eqqdg,85.0,74.4,75.0,62.0,91.0,100.0,82.89,A
76,76,gunwpjwdyhy@school.edu,3645588217,Ksoighgkoe Wowjgje,86.0,81.8,71.0,77.0,56.0,87.0,77.68,A-
77,77,iyvpf@school.edu,3109341325,Bcurowvhdt Idgejxolts,83.625,70.6,90.0,55.0,78.0,92.0,79.81625,A
78,78,qgkyltfbwn@school.edu,9436053942,Sftuefch Zheli,89.5,77.4,58.0,66.0,98.0,51.0,73.615,B-
79,79,bxzqdfagsvkvx@school.edu,1319175165,Klttilcos Uparzoto,70.0,75.2,76.0,69.0,79.0,52.0,69.02,C-
80,80,nanalqzdbuikf@school.edu,5778283567,Zaskrpd Wvyffik,77.0,86.0,80.0,76.0,100.0,63.0,78.85,A
81,81,farjvzjo@school.edu,9199241808,Spwgis Dnebtjvv,87.75,91.0,52.0,88.0,88.0,84.0,82.0375,A
82,82,ndyxjvinz@school.edu,2350427247,Qayzr Umjkvobt,77.25,65.6,97.0,96.0,90.0,59.0,80.1225,A
83,83,aolhzzzyej@school.edu,3999091309,Fzlpgtwnae Iuyiztn,85.0,71.2,52.0,99.0,54.0,54.0,69.92,C-
84,84,qtnnxzhb@school.edu,4447959340,Vlgxfzhw Azdacqwy,75.375,73.8,89.0,58.0,66.0,86.0,75.37375,B
85,85,ugtynssr@school.edu,3533404338,Unkvd Wklhreycvv,87.375,73.0,82.0,73.0,53.0,87.0,77.74375,A-
86,86,syxcxxnqzpc@school.edu,5071169070,Egcos Oqitbxm,74.5,84.0,55.0,91.0,62.0,51.0,68.425,D+
87,87,dvtsknvkw@school.edu,7721483740,Nhbsp Dgszg,78.375,84.8,86.0,89.0,50.0,66.0,75.02375,B
88,88,lmflptbpeyx@school.edu,9917919599,Xkmqrmajco Aekrltlrwi,88.25,73.0,90.0,68.0,90.0,72.0,80.9625,A
89,89,aqedjqzbmfbxr@school.edu,5620980513,Vtofduhwe Mozyh,81.0,75.6,95.0,77.0,77.0,83.0,81.76,A
90,90,fjhggllieo@school.edu,8707937116,Qnwnx Vsxbxwy,83.75,74.6,51.0,75.0,99.0,97.0,81.5475,A
91,91,tdyxnkfctsm@school.edu,3011308176,Trotd Uozmlilwe,88.0,73.6,97.0,68.0,100.0,59.0,80.91,A
92,92,ojepdegnadc@school.edu,8724969887,Nlvkc Vrxebowh,77.75,67.6,61.0,61.0,50.0,50.0,61.9975,D+
93,93,ozkgnthagifd@school.edu,6882890198,Mgupxee Xutmz,77.25,69.8,73.0,68.0,99.0,77.0,77.6925,A-
94,94,ntkovbik@school.edu,5363421992,Mepkhiabh Bycsa,80.75,90.4,100.0,87.0,79.0,78.0,84.7275,A
95,95,lefopep@school.edu,6041877725,Abyijegnjm Bnhogaxby,92.0,77.2,51.0,96.0,51.0,64.0,73.22,B-
96,96,zjevufsyv@school.edu,5320792423,Lqsvqkae Aagonsqj,80.75,75.0,63.0,71.0,95.0,98.0,81.6375,A
97,97,rmzvfdqc@school.edu,2367577876,Zytzzz Bzaxqw,74.875,83.2,89.0,84.0,86.0,99.0,85.68875,A+
98,98,glmawo@school.edu,5176254810,Faypt Utcewdmv,81.875,82.8,92.0,88.0,68.0,93.0,84.54875,A
99,99,mfwuaorshy@school.edu,8776893713,Zjsfy Bgkurczuqj,82.25,80.4,71.0,94.0,92.0,59.0,78.9525,A
100,100,qdhepepcaayi@school.edu,4547295787,Nfjgqfqsfz Mwajkkotma,80.75,67.8,93.0,59.0,94.0,68.0,77.4675,A-
101,101,gylrht@school.edu,4805654887,Nzrmlmydal Djegnkxgmd,75.0,74.0,74.0,79.0,67.0,75.0,74.15,B
102,102,eqiezserhuflk@school.edu,1280581755,Astdguuur Smpnvl,80.125,80.0,71.0,52.0,51.0,77.0,69.53125,C-
103,103,vktowtqjrejyy@school.edu,1300481497,Numwacupfa Fiwxjz,72.75,78.2,77.0,66.0,61.0,92.0,75.0075,B
104,104,qockdaepya@school.edu,8084929465,Lzhetcv Ucoqthmfa,73.25,74.4,96.0,90.0,92.0,69.0,81.2525,A
105,105,gqaelhoneev@school.edu,4898102293,Zoxpaxjbde Dlhqub,82.625,78.2,56.0,61.0,70.0,91.0,74.72625,B
106,106,eyyir@school.edu,3019320878,Kvhonqn Knrff,78.0,77.4,80.0,55.0,59.0,85.0,73.34,B-
107,107,cssebvsvdzmxs@school.edu,2770891948,Ogqbyvdrds Uwotru,79.75,81.6,95.0,71.0,57.0,91.0,79.7475,A
108,108,boplid@school.edu,1760148616,Yforasux Klfvza,81.125,80.8,77.0,94.0,97.0,82.0,84.96125,A
109,109,luecdjeomw@school.edu,6658688894,Ezqduegtw Mkkuas,74.25,86.8,66.0,96.0,87.0,66.0,77.7925,A-
110,110,qynfryihrutdg@school.edu,4615152775,Jhcso Yckrwc,79.875,74.4,86.0,94.0,53.0,76.0,77.55875,A-
111,111,ncbfl@school.edu,3180913237,Syrlf Yytuqgf,71.625,79.6,94.0,69.0,93.0,65.0,77.26625,A-
112,112,qvcopqk@school.edu,7633106416,Ftuujny Fsudfpggjk,85.625,66.2,59.0,72.0,99.0,52.0,72.92625,C+
113,113,dtkuetvs@school.edu,2218728864,Fbxfix Txjut,78.375,86.2,81.0,90.0,75.0,60.0,77.11375,A-
114,114,xcffbrqnu@school.edu,9908325406,Uufdotqlyz Efohbrtxh,83.75,85.4,80.0,76.0,77.0,70.0,78.4275,A
115,115,ierurjczyulg@school.edu,4784887422,Druxmwdamc Xjlmjnvb,81.625,73.8,56.0,70.0,51.0,93.0,72.93625,C+
116,116,qkkrvoyzbui@school.edu,6947336674,Yvorivep Yffua,75.875,76.4,75.0,67.0,72.0,89.0,76.50875,B+
117,117,lgolbsc@school.edu,1429661870,Roxzehgydv Asaqsa,85.5,85.0,62.0,93.0,79.0,89.0,82.775,A
118,118,zzughrqn@school.edu,3211305037,Skbxe Gpulvmyrz,76.75,88.2,90.0,90.0,100.0,79.0,85.8075,A+
119,119,gomxj@school.edu,3723076187,Zepohxz Uypotde,85.125,70.6,62.0,63.0,97.0,62.0,74.04125,B
120,120,mdsslmvaihx@school.edu,3795993460,Joxivvft Fvdfurmc,83.25,86.8,70.0,94.0,72.0,86.0,82.0925,A
121,121,evexcxvsh@school.edu,6669633220,Vinfua Yqzvo,69.25,76.8,95.0,92.0,62.0,70.0,76.3425,B+
122,122,zlkykdjmwzzx@school.edu,9536648218,Kgkodeova Kykngto,86.125,75.8,56.0,89.0,84.0,91.0,81.66125,A
123,123,sgiqbxhm@school.edu,3800600807,Feeiq Dkyzty,86.125,80.8,85.0,82.0,80.0,90.0,84.66125,A
124,124,jokngypargc@school.edu,1507825370,Icqihh Jeljhgzhr,72.0,75.8,100.0,61.0,79.0,91.0,79.78,A
125,125,rvhwjxc@school.edu,3635443040,Hbaji Qasdanbq,81.875,62.0,87.0,54.0,57.0,99.0,76.16875,B+
126,126,nvucfxp@school.edu,4494386748,Yoogkynl Simafe,64.125,72.4,87.0,63.0,81.0,66.0,71.12125,C+
127,127,ynettaz@school.edu,7463088092,Bevpottfzv Ejplmapki,79.0,79.8,81.0,60.0,100.0,80.0,79.88,A
128,128,zdxpx@school.edu,6723888551,Gslhmsu Pobrikdr,85.875,66.0,59.0,56.0,79.0,64.0,69.96875,C-
129,129,dqzlx@school.edu,5188341778,Xvbjawrxla Ufjbxxc,74.625,69.8,68.0,88.0,55.0,91.0,75.48625,B
130,130,mbdyptlhksfq@school.edu,5909608393,Clnldfd Wzsxpvgzv,78.625,78.8,98.0,81.0,98.0,57.0,80.48625,A
131,131,tpsria@school.edu,1451931248,Fjhquze Lnabjefjp,78.25,65.4,53.0,70.0,98.0,80.0,75.2525,B
132,132,arcyr@school.edu,8325245100,Lssfeqpqqf Hsizxtl,77.125,85.0,88.0,81.0,82.0,82.0,81.83125,A
133,133,aiibbndaowg@school.edu,1771079312,Wtcggehf Qxvclz,88.125,67.0,51.0,79.0,84.0,67.0,74.23125,B
134,134,bhbokaxibpo@school.edu,9474729374,Vzfrtzx Crcxus,89.375,78.2,60.0,73.0,62.0,67.0,72.81375,C+
135,135,ldyiv@school.edu,6358441354,Sjrzgxtycz Ybazuhwnmt,84.375,72.4,100.0,97.0,67.0,55.0,78.93375,A
136,136,olerlh@school.edu,8509651030,Sntfiz Tadqxtns,68.125,71.0,97.0,55.0,85.0,57.0,71.08125,C+
137,137,jevoruyz@school.edu,1201926398,Kgtbkc Wrgivpd,87.625,78.8,65.0,71.0,55.0,61.0,70.63625,C
138,138,zceorhxu@school.edu,8042890882,Kbeljfehr Etnphjwp,78.125,79.4,64.0,60.0,100.0,81.0,77.27125,A-
139,139,jrfdrctpxetr@school.edu,5377163199,Kurjqdh Snwxbd,77.375,67.6,58.0,94.0,93.0,78.0,78.45375,A
140,140,auagoiszoj@school.edu,3026974696,Zxzjpanbm Ozdpdfzvf,82.875,78.8,69.0,67.0,93.0,54.0,73.74875,B-
141,141,qkmsgil@school.edu,3101634737,Zqeovpmtg Ujsdsmsl,79.625,82.0,93.0,69.0,90.0,87.0,83.30625,A
142,142,ehngvcg@school.edu,1489983878,Xoydu Lccprmji,72.25,87.2,55.0,66.0,78.0,71.0,70.8325,C
143,143,bqbrbhgbwkrne@school.edu,3436714215,Xunrcftam Kuiaywpegm,72.75,77.0,92.0,77.0,77.0,61.0,74.9875,B
144,144,gyxvm@school.edu,7111529440,Whgefhu Ozbkwy,85.375,69.6,63.0,59.0,91.0,75.0,75.25375,B
145,145,ezmvgbmz@school.edu,3325011498,Eisatjk Uqfqxnfti,71.375,87.2,83.0,61.0,90.0,72.0,76.06375,B+
146,146,wifibiaakwyty@school.edu,3514267308,Wzszksdml Znzckqodvn,70.125,78.4,91.0,53.0,85.0,85.0,76.72125,B+
147,147,aicarkbbw@school.edu,3963537127,Jqirhfn Rxnxh,80.875,72.8,60.0,64.0,59.0,68.0,68.54875,D+
148,148,lhseucnsk@school.edu,1955632338,Jzepgvbji Otazzgew,78.875,76.2,94.0,69.0,55.0,59.0,71.83875,C+
149,149,dnmbaooal@school.edu,5028812355,Zafzbynay Tlmmsd,75.375,93.4,69.0,96.0,88.0,74.0,80.93375,A
150,150,lnkkoyxilu@school.edu,3752044558,Pzsmvyxlg Jtyvqllu,82.25,75.0,58.0,89.0,90.0,88.0,81.2125,A
151,151,ujsfdlbvkv@school.edu,8111513143,Gfyyjdo Fcsedwndcn,88.5,78.0,93.0,84.0,85.0,69.0,83.025,A
152,152,dkdpp@school.edu,7175443711,Wvltun Uwqlr,79.125,77.0,95.0,70.0,93.0,81.0,82.38125,A
153,153,udpvpwflbf@school.edu,3485281165,Dfnnlse Fxjfa,87.375,90.4,51.0,59.0,98.0,84.0,78.88375,A
154,154,ytmagfvsgrdoi@school.edu,1081596471,Fwkcl Meytw,81.625,86.6,75.0,97.0,93.0,97.0,88.21625,A+
155,155,sukgl@school.edu,1245444037,Rrplolmd Czsape,80.0,70.4,97.0,58.0,85.0,56.0,74.24,B
156,156,wvcbtvats@school.edu,6084097961,Vccfdgww Hojznxx,77.875,70.4,67.0,84.0,78.0,66.0,74.05875,B
157,157,kuonnwa@school.edu,3113536912,Mihykix Nmgimuolgj,80.375,79.4,55.0,61.0,100.0,55.0,71.43375,C+
158,158,gqkdecq@school.edu,1875895732,Koqaewu Dwodohmw,69.625,84.4,72.0,71.0,100.0,87.0,79.69625,A
159,159,wyjyjblvlngdg@school.edu,5994000187,Qtsozfml Dbgkpjox,84.125,87.6,68.0,97.0,61.0,52.0,74.09125,B
160,160,gyjchxywijyah@school.edu,9151370651,Qjpyk Btvojqoyl,82.5,75.0,69.0,69.0,70.0,88.0,76.925,B+
161,161,tismk@school.edu,6856512468,Semjqw Kigex,76.5,89.8,61.0,54.0,72.0,96.0,75.355,B
162,162,rnvlgcky@school.edu,3092419504,Upmublgvp Rvnrfov,77.125,81.0,98.0,59.0,67.0,66.0,74.18125,B
163,163,csxrgxvnjrabw@school.edu,8701318347,Rdivhji Lpykwvjuju,86.0,76.6,57.0,100.0,86.0,79.0,81.41,A
164,164,bjkykpnuunw@school.edu,5106227812,Djdubtesq Inbhftyddt,78.75,84.0,94.0,98.0,100.0,73.0,86.4875,A+
165,165,upqvmwgezsicv@school.edu,2888463812,Gscrvkoc Wreltkstu,77.125,87.2,52.0,70.0,63.0,100.0,75.75125,B
166,166,mwasuuvyrt@school.edu,3260339241,Huahruk Zelqs,87.5,77.6,67.0,50.0,99.0,86.0,79.235,A
167,167,qxrug@school.edu,4626402864,Tvsvmkkjwv Mxibd,70.25,61.2,67.0,78.0,82.0,71.0,71.9325,C+
168,168,sxprtva@school.edu,5011571412,Qkgfxhhnkw Ablnnkpuy,72.25,76.2,56.0,97.0,70.0,56.0,70.3325,C
169,169,pvrzelrki@school.edu,6930936089,Krqdg Wwsaqal,78.375,83.2,62.0,95.0,77.0,79.0,78.81375,A
170,170,fukxyuyxshyk@school.edu,8532114058,Vdnuhmamxy Boqmhbcejy,75.75,78.6,89.0,52.0,59.0,82.0,73.1975,B-
171,171,vqnrrm@school.edu,5561803009,Pkwxrodisr Prfkywk,73.875,84.4,61.0,50.0,64.0,62.0,65.55875,D+
172,172,pvybbz@school.edu,4722133718,Zstap Pryfhykkp,75.75,81.8,100.0,92.0,99.0,100.0,90.7675,A+
173,173,kbckjow@school.edu,3474102158,Lgleweoyu Xpyir,75.5,80.8,63.0,78.0,95.0,72.0,76.755,B+
174,174,wwsghkatcsw@school.edu,4867280283,Lvllzyew Urbmcry,80.625,80.6,74.0,64.0,63.0,92.0,76.76625,B+
175,175,abrxqmm@school.edu,5326966183,Extcro Fxvhwk,84.5,69.8,95.0,84.0,87.0,67.0,81.405,A
176,176,ziocfjqx@school.edu,6945976599,Lqqccm Cmsppx,78.625,82.0,61.0,79.0,66.0,78.0,74.35625,B
177,177,edvnesgv@school.edu,7855205258,Mrjdx Mraioubb,78.25,80.0,58.0,64.0,94.0,74.0,74.7625,B
178,178,wudxxvypbqxx@school.edu,9003867840,Cabmpjgo Ksqtakbx,78.5,81.4,92.0,78.0,64.0,71.0,77.065,A-
179,179,ptvnbx@school.edu,4497866582,Slytffoed Ounxadiyub,76.375,91.2,82.0,93.0,91.0,74.0,82.91375,A
180,180,osgde@school.edu,7748248844,Bcnvdjphyl Ptsqkjt,84.875,68.6,100.0,83.0,85.0,85.0,85.27875,A+
181,181,nehowtxtgug@school.edu,9698728975,Jbxphi Xwyapt,78.125,66.6,90.0,62.0,56.0,79.0,73.19125,B-
182,182,woijfnok@school.edu,9671113753,Dzcptnnles Nrckjq,84.125,60.4,85.0,97.0,80.0,67.0,79.77125,A
183,183,evqfq@school.edu,4003480575,Xvmcj Bqaugn,84.75,82.2,76.0,84.0,98.0,89.0,85.9075,A+
184,184,edevibsyhfvcf@school.edu,9003167708,Niccp Qvcxojlrc,67.25,80.8,84.0,51.0,61.0,91.0,72.4925,C+
185,185,bbamiwhqdfgy@school.edu,1938487310,Tomvulpqew Vrzocqeloy,75.125,72.2,59.0,98.0,87.0,75.0,77.60125,A-
186,186,yssox@school.edu,5338658206,Zsnfgbcxhe Ahxmkngaqf,79.125,91.4,59.0,55.0,65.0,74.0,70.57125,C
187,187,wecimc@school.edu,5666678255,Fjmsofcbh Xkfsy,67.875,73.0,52.0,71.0,57.0,82.0,67.66875,D+
188,188,aassosvjyjnnz@school.edu,7739527497,Sonaaib Supbhm,81.25,77.8,83.0,89.0,79.0,93.0,84.3425,A
189,189,ruuqztm@school.edu,5514415222,Awnvmjgzwd Mpinhyjhfa,85.75,85.4,57.0,57.0,73.0,81.0,74.2275,B
190,190,hjqymvxk@school.edu,2514090629,Nrhfkg Svchqsyyj,83.375,78.6,96.0,85.0,73.0,94.0,85.60375,A+
191,191,ggmrvuqwijy@school.edu,2645806958,Ruuizcqb Xbwpsf,82.75,86.6,55.0,75.0,62.0,94.0,76.9475,B+
192,192,jxufnn@school.edu,1039539394,Ahpxni Jrhlrbpcqg,78.375,86.8,63.0,51.0,89.0,66.0,71.92375,C+
193,193,bzwhvwvg@school.edu,4208940015,Edxzvnrgra Ljoulpoou,78.125,77.4,93.0,67.0,59.0,88.0,77.72125,A-
194,194,ephab@school.edu,3993421577,Qjyea Wsxwskho,77.875,81.4,81.0,62.0,83.0,51.0,71.70875,C+
195,195,axtobabnbs@school.edu,9925165176,Iqnww Pskipwmhwm,72.375,87.6,51.0,81.0,87.0,92.0,78.10375,A
196,196,kirqmiedvqqwg@school.edu,3376678703,Objbflexm Ozctparqim,73.875,74.6,73.0,64.0,95.0,86.0,77.92875,A-
197,197,hizbppzvcmpb@school.edu,9072935042,Rkfdzpxxx Ryvfck,79.25,86.2,72.0,89.0,73.0,50.0,73.5325,B-
198,198,eflrlxcmsq@school.edu,5116044855,Lomqmr Kwkkrgowpd,85.125,87.2,56.0,84.0,67.0,73.0,75.65125,B
199,199,dlnxljqdymrzp@school.edu,1570615496,Zvoyrdsssq Xieieqow,85.625,79.2,61.0,97.0,59.0,61.0,74.07625,B
200,200,zqrbpk@school.edu,3973566964,Uxugqomexr Snnrnwpg,87.5,69.6,94.0,76.0,63.0,76.0,78.985,A
201,201,osutq@school.edu,1847988281,Jzjszgwaj Nepkrdl,75.0,90.8,58.0,90.0,68.0,88.0,77.83,A-
